UDG ID,log_10(M*),log_10(Mgas),log_10(Mbary),log_10(Mdyn),Mg,Tidal index Θ,log_10(M*/Mgas),log_10(M*/Mdyn),log_10(Mbary/Mdyn),AM star,AM DM,β_*,σ_z/σ_r,σ_θ/σ_r,class
691886,8.401943657,9.325231612,9.374185748,10.10083688,-16.8886,-1.181884542,-0.9232879553,-1.698893226,-0.7266511353,27.2263369,34.01878414,0.06340558487,0.9127604603,1.065620845,3
694422,8.293343718,8.681780686,8.830645161,9.660148318,-16.6147,-0.09636171626,-0.388436968,-1.3668046,-0.8295031569,11.08823709,24.82938478,0.08711620081,0.8012520181,0.9937908215,3
699614,8.370148108,8.603799234,8.803530826,9.565807584,-16.5688,-0.2341828785,-0.2336511257,-1.195659476,-0.762276758,13.6004748,9.632977571,0.2135567933,0.8065729357,0.9040124835,3
703180,8.458723669,9.560638465,9.593693468,10.61844288,-16.7152,-0.7795692587,-1.101914796,-2.15971921,-1.024749411,29.33479838,227.1815627,-0.1019346224,0.7803058103,0.8886612708,3
704691,8.243214269,9.205605699,9.250555144,10.30061061,-16.2082,0.1861983589,-0.9623914302,-2.057396344,-1.050055469,20.58259852,108.7126557,0.2416217259,0.8120622271,0.8262522141,3
711649,8.243707305,9.025986245,9.092345761,10.41184202,-15.8302,-0.6378107077,-0.78227894,-2.168134713,-1.319496257,8.250343465,45.31129002,0.05960982053,0.8334621386,0.9679952993,3
713791,8.351523997,9.215693129,9.271346488,9.791155145,-16.6648,-1.358762515,-0.8641691321,-1.439631147,-0.5198086563,20.44795383,15.38606463,0.1951737244,0.906084172,0.9823808407,3
723141,8.589702138,9.390247452,9.454064924,10.59913689,-16.852,-0.3856886862,-0.8005453134,-2.009434748,-1.145071963,9.469966151,124.0654849,0.09478540676,0.8870488822,0.9736854963,3
724892,8.631556179,8.940956295,9.1142754,10.37656918,-16.3318,0.103674224,-0.3094001161,-1.745013002,-1.262293781,9.723355036,72.4962812,0.1210524519,0.8676364917,0.873873729,3
726051,8.718487534,9.735833574,9.775677665,10.88264022,-16.9485,-0.4752137578,-1.01734604,-2.164152687,-1.106962555,22.03064276,353.3343667,-0.516276242,0.5395816414,0.7797127445,3
728385,8.277094559,9.771127959,9.784833001,10.84951355,-16.2263,-0.4432132525,-1.4940334,-2.572418994,-1.064680552,8.20595199,764.6712446,0.167675329,0.8457865243,0.9764756396,3
729106,8.23871597,9.242960489,9.283969019,10.55185287,-15.9907,-1.414290519,-1.004244519,-2.313136903,-1.267883854,14.00367414,178.8525365,-0.08930389791,0.9330944082,0.9680001274,3
