UDG ID,log_10(M*),log_10(Mgas),log_10(Mbary),log_10(Mdyn),Mg,Tidal index Θ,log_10(sSFR),log_10(M*/Mgas),log_10(M*/Mdyn),log_10(Mbary/Mdyn),AM star,AM DM,T_DM,e_DM,f_DM,T_*,e_*,f_*,β_*,σ_z/σ_r,σ_θ/σ_r,V/σ,λRe,h3,h4,class
769481,8.289591486,9.614555693,9.634634686,10.71774188,-16.4295,-0.5897869608,-9.624366143,-1.324964207,-2.428150391,-1.083107191,16.97442989,160.6793445,0.4844558715,0.5255503995,0.6372529557,0.9901003992,0.9882668198,0.646990994,0.1077318417,0.9137615815,0.9822668567,0.248415,0.120775,0.037652,-0.160282,3
770360,8.304440341,9.612276502,9.633144106,10.67972772,-16.2947,-1.224203427,-9.676231297,-1.307836162,-2.375287382,-1.046583617,26.08906159,265.5595509,0.67200347,0.4680620417,0.3700407851,0.9936327556,0.9797385121,0.3915916357,-0.04654792419,0.812651462,0.9628193866,0.193167,0.183717,-0.000325,0.008262,3
770542,8.347385463,9.634096374,9.655978347,10.70179653,-16.5809,-0.07824695772,-9.657128232,-1.286710911,-2.354411069,-1.045818185,55.87930099,202.894304,0.1125275678,0.1703825627,0.4855905858,0.9270755973,0.9024158724,0.5874126145,0.1394910246,0.8216023324,0.9131904326,0.333396,0.232769,0.00286,-0.021548,3
770626,8.520100014,9.652990375,9.683848774,10.69268359,-16.9591,-1.031300124,-9.761058004,-1.132890361,-2.172583579,-1.008834819,18.75689368,110.8052507,0.4298377491,0.3146779502,0.3818178466,0.9982068989,0.9924347008,0.342601252,-0.03710397988,0.8571303419,0.9485608512,0.287059,0.251275,-0.010008,0.002827,3
774495,8.261566985,9.646634826,9.664170369,10.68976593,-16.0744,-0.6655975147,-9.812156473,-1.385067842,-2.428198944,-1.02559556,64.33626861,304.038617,0.00671639381,0.03888823216,0.4732769979,0.7166077682,0.6083573052,0.4820317659,0.2456066767,0.8894663201,0.7680958314,0.30318,0.240959,-0.006621,0.002874,3
775830,8.472282615,9.582074667,9.614557191,10.65638014,-16.8439,0.2434011108,-9.666996578,-1.109792053,-2.184097525,-1.041822948,7.636440838,158.9595905,0.3704969427,0.3277751423,0.4522338551,0.9766217822,0.9717380008,0.6368917753,-0.05728828406,0.7312819196,1.065163472,0.159283,0.145274,0.004645,0.015703,3
777035,8.213351711,9.206427202,9.24845397,10.41087449,-16.0975,-0.07232407438,-9.694889099,-0.993075491,-2.197522778,-1.162420519,11.96250366,122.836363,0.2141734334,0.1999250016,0.3908456307,0.992203579,0.9688185099,0.3466078538,-0.2777872819,0.7094725197,0.9828405084,0.143502,0.09878,-0.007881,0.009202,3
778109,8.397989358,9.566636661,9.595134389,10.63218759,-16.872,-0.2632473575,-9.55492921,-1.168647304,-2.234198229,-1.037053198,69.58417126,195.7656341,0.234540946,0.2441762114,0.4548872582,0.83678646,0.8468691912,0.7032953521,-0.3532295287,0.6436425593,0.7424002879,0.284364,0.214045,-0.018459,-0.021945,3
778249,8.241731793,9.495264378,9.518837222,10.65599783,-16.0821,-0.4576268649,-9.683762872,-1.253532585,-2.414266033,-1.137160603,29.08256495,351.1530126,0.717403771,0.5762332767,0.4425129829,0.9587654054,0.9645243867,0.7576946688,0.3597544173,0.6934084038,0.824012473,0.315193,0.262469,0.001141,0.02823,3
778726,8.39447158,9.474046481,9.508778319,10.67000061,-16.5947,-0.3334797416,-9.656708208,-1.079574901,-2.275529027,-1.161222289,15.85577395,151.159389,0.6689534161,0.4815665302,0.386541224,0.9955307512,0.9923902093,0.5400063214,-0.2491418387,0.6601138751,1.018555859,0.241924,0.184952,0.000625,0.020803,3
778977,8.305326937,9.468030374,9.496908037,10.64372108,-16.381,-0.3634358502,-9.665125845,-1.162703437,-2.338394146,-1.146813047,28.57015252,142.2242031,0.5678286884,0.3191774861,0.2938211011,0.9915882647,0.9957777927,0.99911086,-0.07017397046,0.6777363757,0.9139835091,0.237204,0.164119,-0.010415,0.00241,3
779337,8.396729207,9.498956345,9.531988464,10.66679722,-16.9435,-0.1201696173,-9.493467708,-1.102227138,-2.270068015,-1.134808758,11.04245852,33.5918613,0.6246266764,0.4689208415,0.4115685197,0.9563975183,0.9586714626,0.719449587,-0.02821152946,0.9932962287,1.068548241,0.21782,0.15993,-0.002808,0.005574,3
780600,8.509981061,9.604104805,9.637735565,10.59355493,-16.9209,-0.1873493572,-9.545229886,-1.094123745,-2.083573871,-0.9558193661,7.392548673,91.54280188,0.517852904,0.2060973957,0.2032283403,0.9235408921,0.8890886357,0.5588785174,0.3337188979,0.8496959687,0.8826458859,0.196301,0.219907,0.005246,0.013497,3
782497,8.431363764,9.463886629,9.5024213,10.62462909,-16.8754,-0.3920167207,-9.329647614,-1.032522865,-2.193265325,-1.122207789,15.57295789,107.9672289,0.7004285274,0.4699681285,0.3482024071,0.9904420486,0.9785679722,0.4668224694,0.06632463011,0.9068540316,0.9862025186,0.324566,0.239611,0.003122,-0.095274,3
783034,8.44470557,9.447860284,9.488967122,10.63862538,-16.472,-0.6636596324,-9.87042885,-1.003154714,-2.193919809,-1.149658256,26.07535582,163.8741526,0.4500780211,0.4216177016,0.513956739,0.9857588529,0.9725045348,0.5019254727,0.05743999363,0.9246330655,0.9756659805,0.134596,0.120426,0.017329,-0.144023,3
783635,8.209636853,9.260501646,9.297508707,10.48038529,-16.2464,-0.6583277006,-9.399350556,-1.050864793,-2.270748437,-1.182876583,2.809568031,52.00440148,0.2927498944,0.3402107089,0.5623373679,0.9798786604,0.9268199139,0.353688249,0.05243546593,0.9505386001,1.022264043,0.120913,0.127221,-0.000783,0.008869,3
785449,8.497114285,9.526968569,9.565730459,10.58589666,-16.7669,-0.5591034594,-9.738546787,-1.029854284,-2.088782379,-1.020166205,0.8050368472,70.81197425,0.4598258459,0.3960114529,0.4674327258,0.9803809192,0.9376439752,0.3815958728,0.1051711569,0.9907874313,0.9405943344,0.108399,0.118728,0.001098,-0.159322,3
785824,8.490564969,9.376154256,9.429286492,10.64803592,-16.8898,0.05205123861,-9.606420118,-0.8855892865,-2.157470947,-1.218749424,8.106272818,169.4227894,0.4118468993,0.3953803998,0.5144047987,0.9820132662,0.8610495404,0.2291588607,-0.10403981,1.062219707,0.9684812691,0.330447,0.282423,-0.005715,0.008423,3
